Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence
Qabeel,00:01:41.600,میں نے سنا تھا کہ آگ جلتی ہے،,8.0,"I had heard that fire burns,",6.0,,,,,,,,
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,1.0,00:01:41.600,میں نے سنا تھا کہ آگ جلتی ہے،,"I had heard that fire burns,"
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,2.0,00:01:46.320,میں نے بھی دیکھی تھی۔,I had also seen it.
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,3.0,00:01:48.760,لیکن آگ ہر چیز کو جلا کر راکھ کر دیتی ہے۔,But fire burns everything to ashes.
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,4.0,00:01:53.360,میں نے اسے اس رات پہلی بار دیکھا۔,I saw this for the first time that night.
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,5.0,00:01:58.480,جب میری آنکھوں کے سامنے,"When in front of my eyes,"
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,6.0,00:02:00.560,دیواریں,the walls an the
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,7.0,00:02:02.840,چھت،,"the roof,"
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,8.0,00:02:03.680,تمام وسائل۔,all the resources.
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,9.0,00:02:05.840,دراصل ان کے ساتھ ہی,"In fact, along with them,"
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,10.0,00:02:07.560,سارے خواب بھی جل گئے۔,all the dreams were burnt.
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,11.0,00:02:11.080,خواب,Dreams are not
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,12.0,00:02:14.400,میں مانتا ہوں۔,I agree.
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,13.0,00:02:16.440,لیکن میری زندگی میں یہ آگ کس نے جلائی؟,But who lit this fire in my life?
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,14.0,00:02:20.480,کہ سب کچھ تباہ ہو گیا۔,That everything was destroyed.
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,15.0,00:02:23.600,یہ کون ہے؟  وہ,Who is it?
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,16.0,00:02:25.360,موجودہ انسان کون ہے؟,Who is that existing human being?
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,17.0,00:04:51.680,میں…,I…
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,18.0,00:04:55.800,تمہیں کیا ہوا چاندنی؟,What happened to you Chandni?
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,19.0,00:04:57.960,میں ایک شعر پڑھ رہا تھا,I was reciting a couplet
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,20.0,00:04:59.080,اور آپ یہ کر رہے ہیں۔,and you are doing this.
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,21.0,00:05:01.000,ٹھیک ہے، آگے بڑھو۔,"Okay, go ahead."
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,22.0,00:05:03.480,نہیں,"No, there will be nothing"
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,23.0,00:05:14.800,ٹھیک ہے، سنو۔,"Okay, listen ."
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,24.0,00:05:19.680,اگر کوئی شعر پڑھو,If you recite a couplet
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,25.0,00:05:21.360,اور اچھا ہو,"and it is good,"
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,26.0,00:05:23.280,تو خاص ہو گا۔,then it will be special.
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,27.0,00:05:24.960,واقعی,Really.
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,28.0,00:05:26.040,ہممم….,Hmmm….
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,29.0,00:05:28.840,میں کچھ کہنا چاہتا ہوں,I want to say something
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,30.0,00:05:33.560,جب تم اتنے قریب آؤ تو,"When you come so close,"
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,31.0,00:05:35.680,پھر مجھے رکنے کی ضرورت نہیں۔,then I don't have to stop.
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,32.0,00:05:38.800,جب سے تیری آنکھوں نے,Since the time your eyes
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,33.0,00:05:43.640,میرا…,my…
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,34.0,00:05:45.360,میں…,I…
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,35.0,00:05:47.280,کیا لکھا تھا؟,What was written?
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,36.0,00:05:48.800,ہاں،,"Yes,"
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,37.0,00:05:49.920,مجھے اپنے راستے میں کسی رکاوٹ کا سامنا نہیں کرنا پڑتا۔,I don't have to face any
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,38.0,00:05:54.880,دوبارہ چوری کرنا۔,Stealing again.
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,39.0,00:05:57.840,کس نے کہا یہ چوری ہے؟,Who said it is a theft?
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,40.0,00:05:59.880,میں نے اسے لکھا۔,I wrote it.
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,41.0,00:06:01.920,کیا آپ نے اسے کہیں پڑھا ہے؟,Did you read it somewhere?
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,42.0,00:06:03.360,نہیں،,"No,"
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,43.0,00:06:04.200,میں نے اسے نہیں پڑھا۔,I didn't read it.
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,44.0,00:06:05.680,لیکن آپ اتنا اچھا نہیں لکھ سکتے جتنا یہ ہے۔  تم نے نہ چاہتے ہوئے بھی,But you can't write as good as it is.
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,45.0,00:06:09.480,میرے شعر کی تعریف کی۔,You praised my couplet even
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,46.0,00:06:13.760,شکریہ,Thank you.
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,47.0,00:06:19.840,یہ کیا ہے؟,What is this?
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,48.0,00:06:23.520,میں نے اتنا اچھا شعر پڑھا ہے،,"I have recited such a good couplet,"
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,49.0,00:06:25.920,اس لیے میں تحفے کا مستحق ہوں۔,so I deserve a gift.
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,50.0,00:06:28.800,کیا؟,What?
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,51.0,00:06:30.760,میرا تحفہ۔,My gift.
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,52.0,00:06:32.440,کیا تحفہ؟,What gift?
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,53.0,00:06:35.000,چاندنی، کیا ہوا؟,"Chandni, what happened?"
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,54.0,00:06:45.960,کوئی آئے گا۔,Someone will come.
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,55.0,00:06:47.680,کوئی نہیں آئے گا؟,No one will come?
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,56.0,00:06:49.120,ماں آئے گی۔,Mother will come.
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,57.0,00:06:50.920,والدہ والد کے ساتھ گئی ہیں،,"Mother has gone with father,"
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,58.0,00:06:53.360,ماں آئے گی۔,Mother will come.
Qabeel,,,,,,,,,https://www.youtube.com/watch?v=4xUvwCzhyQs,59.0,00:06:55.600,کیا ہوا چاندنی,"What happened Chandni,"
